medicine_name,dosage_form,category,used_for,indications (comma separated),side_effects (comma separated)
Aleve Gel, Gel, NSAID, Topical pain relief," muscle pain, joint pain, arthritis, sprains, strains"," skin irritation, rash, allergic reactions"
 Aleve, Tablet, NSAID, Pain and inflammation relief," headaches, toothaches, menstrual cramps, arthritis, muscle aches, fever"," stomach pain, heartburn, nausea, dizziness, drowsiness, allergic reactions"
 Allegra, Tablet, Antihistamine, Allergy relief," seasonal allergies, hay fever, hives, itching, runny nose, watery eyes"," headache, drowsiness, nausea, dry mouth, fatigue"
 amoxicillin, Capsule, Antibiotic, Bacterial infection treatment," respiratory infections, ear infections, urinary tract infections, skin infections, dental infections"," diarrhea, stomach upset, rash, nausea, vomiting, allergic reactions"
 amoxicillin, Syrup, Antibiotic, Bacterial infection treatment," respiratory infections, ear infections, urinary tract infections, skin infections, dental infections"," diarrhea, stomach upset, rash, nausea, vomiting, allergic reactions"
 amoxicillin, Tablet, Antibiotic, Bacterial infection treatment," respiratory infections, ear infections, urinary tract infections, skin infections, dental infections"," diarrhea, stomach upset, rash, nausea, vomiting, allergic reactions"
 Augmentin, Syrup, Antibiotic, Broad-spectrum bacterial infection treatment," sinusitis, pneumonia, ear infections, skin infections, urinary tract infections"," diarrhea, nausea, vomiting, rash, yeast infections, liver enzyme elevation"
 Augmentin, Tablet, Antibiotic, Broad-spectrum bacterial infection treatment," sinusitis, pneumonia, ear infections, skin infections, urinary tract infections"," diarrhea, nausea, vomiting, rash, yeast infections, liver enzyme elevation"
 betnovate-N, Cream, Corticosteroid with antibiotic, Inflammatory skin conditions with bacterial infection," dermatitis, eczema, psoriasis, insect bites, infected skin lesions"," skin thinning, striae, local irritation, burning sensation, secondary infection"
 Coferb, Syrup, Cough suppressant, Cough relief," dry cough, irritating cough, bronchitis, upper respiratory infections"," drowsiness, dizziness, constipation, nausea, headache"
 Coferb, Tablet, Cough suppressant, Cough relief," dry cough, irritating cough, bronchitis, upper respiratory infections"," drowsiness, dizziness, constipation, nausea, headache"
 Dermex, Ointment, Corticosteroid, Inflammatory skin conditions," eczema, dermatitis, psoriasis, insect bites, allergic reactions"," skin thinning, striae, local irritation, burning sensation"
 Doxycycline, Capsule, Antibiotic, Broad-spectrum bacterial infection treatment," respiratory infections, urinary tract infections, acne, malaria prevention, Lyme disease"," photosensitivity, nausea, diarrhea, vomiting, esophageal irritation"
